Date,District,Warehouse_Name,Percent_of_Crime_Solved,Number_of_Lights
2024-01-24,Мышеостровский,Сметанинковы,66.80548629,777
2024-01-24,Краснокотейский,Колбасовы,61.35886568,641
2024-01-24,Краснокотейский,Молочковы,67.16077577,359
2024-01-24,Краснокотейский,Мятновы,66.68019473,695
2024-01-24,Краснокотейский,Сметанинковы,68.79764824,588
2024-01-24,Мышесельский,Колбасовы,64.35208718,627
2024-01-24,Мышесельский,Молочковы,61.16979606,658
2024-01-24,Мышесельский,Мятновы,62.07851323,591
2024-01-24,Мышесельский,Сметанинковы,61.00156817,499
2024-01-24,Петрокотский,Колбасовы,66.56836564,620
2024-01-24,Петрокотский,Молочковы,67.37403615,659
2024-01-24,Петрокотский,Мятновы,60.04257344,610
2024-01-24,Петрокотский,Сметанинковы,59.50352494,648
2024-01-24,Приморский,Колбасовы,63.9547093,731
2024-01-24,Приморский,Молочковы,67.00251955,767
2024-01-24,Приморский,Мятновы,59.52932026,702
2024-01-24,Приморский,Сметанинковы,61.25361942,597
2024-01-24,Невский,Колбасовы,59.70395628,436
2024-01-24,Невский,Молочковы,61.23184115,568
2024-01-24,Невский,Мятновы,60.11037883,630
2024-01-24,Невский,Сметанинковы,61.44585293,534
2024-01-23,Мышеостровский,Колбасовы,61.52894228,802
2024-01-23,Мышеостровский,Молочковы,67.88733461,598
2024-01-23,Мышеостровский,Мятновы,68.78827702,754
2024-01-23,Мышеостровский,Сметанинковы,62.5933124,587
2024-01-23,Краснокотейский,Колбасовы,67.70953768,726
2024-01-23,Краснокотейский,Молочковы,62.45593442,611
2024-01-23,Краснокотейский,Мятновы,67.92826102,849
2024-01-23,Краснокотейский,Сметанинковы,65.14678837,596
2024-01-23,Мышесельский,Колбасовы,68.18252457,542
2024-01-23,Мышесельский,Молочковы,62.35334593,710
2024-01-23,Мышесельский,Мятновы,69.15738347,433
2024-01-23,Мышесельский,Сметанинковы,67.84955527,750
2024-01-23,Петрокотский,Колбасовы,62.17505059,493
2024-01-23,Петрокотский,Молочковы,65.47300684,751
2024-01-23,Петрокотский,Мятновы,68.53331491,474
2024-01-23,Петрокотский,Сметанинковы,62.90763415,435
2024-01-23,Приморский,Колбасовы,67.79162729,824
2024-01-23,Приморский,Молочковы,69.44347434,741
2024-01-23,Приморский,Мятновы,67.42951558,554
2024-01-23,Приморский,Сметанинковы,60.7088478,617
2024-01-23,Невский,Колбасовы,63.61539994,657
2024-01-23,Невский,Молочковы,65.97111546,722
2024-01-23,Невский,Мятновы,67.6624988,547
2024-01-23,Невский,Сметанинковы,64.77132388,693
2024-01-22,Мышеостровский,Колбасовы,66.50220644,945
2024-01-22,Мышеостровский,Молочковы,61.77467967,641
2024-01-22,Мышеостровский,Мятновы,69.20464623,674
2024-01-22,Мышеостровский,Сметанинковы,64.41290282,428
2024-01-22,Краснокотейский,Колбасовы,69.34867926,590
2024-01-22,Краснокотейский,Молочковы,67.58186463,499
2024-01-22,Краснокотейский,Мятновы,66.7691191,514
2024-01-22,Краснокотейский,Сметанинковы,60.6734073,660
2024-01-22,Мышесельский,Колбасовы,65.43313476,678
2024-01-22,Мышесельский,Молочковы,67.74578108,819
2024-01-22,Мышесельский,Мятновы,67.62863151,401
2024-01-22,Мышесельский,Сметанинковы,60.68173591,439
2024-01-22,Петрокотский,Колбасовы,64.65784934,548
2024-01-22,Петрокотский,Молочковы,69.23059626,718
2024-01-22,Петрокотский,Мятновы,62.39441294,532
2024-01-22,Петрокотский,Сметанинковы,63.24400298,550
2024-01-22,Приморский,Колбасовы,68.64126678,463
2024-01-22,Приморский,Молочковы,62.35449242,701
2024-01-22,Приморский,Мятновы,68.59416821,607
2024-01-22,Приморский,Сметанинковы,65.05264381,679
2024-01-22,Невский,Колбасовы,64.00166228,660
2024-01-22,Невский,Молочковы,68.1244668,669
2024-01-22,Невский,Мятновы,67.34686145,625
2024-01-22,Невский,Сметанинковы,70.13679487,699
2024-01-21,Мышеостровский,Колбасовы,87.19846036,874
2024-01-21,Мышеостровский,Молочковы,81.66522806,792
2024-01-21,Мышеостровский,Мятновы,78.74074537,737
2024-01-21,Мышеостровский,Сметанинковы,80.78633159,699
2024-01-21,Краснокотейский,Колбасовы,87.20670941,771
2024-01-21,Краснокотейский,Молочковы,83.43463853,1216
2024-01-21,Краснокотейский,Мятновы,78.41586293,842
2024-01-21,Краснокотейский,Сметанинковы,78.52128118,620
2024-01-21,Мышесельский,Колбасовы,79.0007974,673
2024-01-21,Мышесельский,Молочковы,78.25051721,730
2024-01-21,Мышесельский,Мятновы,86.30009821,617
2024-01-21,Мышесельский,Сметанинковы,85.22717545,926
2024-01-21,Петрокотский,Колбасовы,78.46432904,762
2024-01-21,Петрокотский,Молочковы,79.97390541,665
2024-01-21,Петрокотский,Мятновы,86.10051068,1063
2024-01-21,Петрокотский,Сметанинковы,82.73822706,805
2024-01-21,Приморский,Колбасовы,79.18547429,883
2024-01-21,Приморский,Молочковы,82.11974863,598
2024-01-21,Приморский,Мятновы,82.79272738,1015
2024-01-21,Приморский,Сметанинковы,81.19676296,777
2024-01-21,Невский,Колбасовы,86.28657211,888
2024-01-21,Невский,Молочковы,82.6203017,1073
2024-01-21,Невский,Мятновы,80.61681019,788
2024-01-21,Невский,Сметанинковы,84.11603239,850
2024-01-20,Мышеостровский,Колбасовы,64.50347514,486
2024-01-20,Мышеостровский,Молочковы,62.35438707,741
2024-01-20,Мышеостровский,Мятновы,62.02879887,793
2024-01-20,Мышеостровский,Сметанинковы,58.878163,611
2024-01-20,Краснокотейский,Колбасовы,59.43710225,462
2024-01-20,Краснокотейский,Молочковы,63.24741456,469
2024-01-20,Краснокотейский,Мятновы,58.34080778,614
2024-01-20,Краснокотейский,Сметанинковы,55.65374131,555
2024-01-20,Мышесельский,Колбасовы,58.00985801,435
2024-01-20,Мышесельский,Молочковы,61.27948393,553
2024-01-20,Мышесельский,Мятновы,57.10795953,617
2024-01-20,Мышесельский,Сметанинковы,57.87011102,533
2024-01-20,Петрокотский,Колбасовы,56.61759187,594
2024-01-20,Петрокотский,Молочковы,59.45400067,663
2024-01-20,Петрокотский,Мятновы,56.88148914,569
2024-01-20,Петрокотский,Сметанинковы,59.82665601,776
2024-01-20,Приморский,Колбасовы,58.684646,583
2024-01-20,Приморский,Молочковы,63.98580467,793
2024-01-20,Приморский,Мятновы,64.66472989,593
2024-01-20,Приморский,Сметанинковы,60.66891206,698
2024-01-20,Невский,Колбасовы,59.67720444,628
2024-01-20,Невский,Молочковы,63.56895434,546
2024-01-20,Невский,Мятновы,57.22911417,343
2024-01-20,Невский,Сметанинковы,63.26734305,376
2024-01-19,Мышеостровский,Колбасовы,59.82687934,391
2024-01-19,Мышеостровский,Молочковы,50.89764998,587
2024-01-19,Мышеостровский,Мятновы,54.14758142,596
2024-01-19,Мышеостровский,Сметанинковы,53.33460012,619
2024-01-19,Краснокотейский,Колбасовы,50.30775295,535
2024-01-19,Краснокотейский,Молочковы,57.28857416,582
2024-01-19,Краснокотейский,Мятновы,52.8922143,509
2024-01-19,Краснокотейский,Сметанинковы,52.57060576,550
2024-01-19,Мышесельский,Колбасовы,55.99567157,590
2024-01-19,Мышесельский,Молочковы,50.3837159,575
2024-01-19,Мышесельский,Мятновы,56.70453279,423
2024-01-19,Мышесельский,Сметанинковы,56.47820519,506
2024-01-19,Петрокотский,Колбасовы,58.21331011,515
2024-01-19,Петрокотский,Молочковы,53.63079187,544
2024-01-19,Петрокотский,Мятновы,52.27325056,575
2024-01-19,Петрокотский,Сметанинковы,50.99398822,406
2024-01-19,Приморский,Колбасовы,59.18946236,718
2024-01-19,Приморский,Молочковы,53.00610493,475
2024-01-19,Приморский,Мятновы,57.91325018,473
2024-01-19,Приморский,Сметанинковы,53.30349106,684
2024-01-19,Невский,Колбасовы,54.18035809,714
2024-01-19,Невский,Молочковы,54.43358035,624
2024-01-19,Невский,Мятновы,52.56604087,512
2024-01-19,Невский,Сметанинковы,52.06593387,679
2024-01-18,Мышеостровский,Колбасовы,80.3103423,744
2024-01-18,Мышеостровский,Молочковы,88.50746718,688
2024-01-18,Мышеостровский,Мятновы,89.48753403,864
2024-01-18,Мышеостровский,Сметанинковы,83.92464224,687
2024-01-18,Краснокотейский,Колбасовы,84.89072346,1266
2024-01-18,Краснокотейский,Молочковы,82.67866192,659
2024-01-18,Краснокотейский,Мятновы,80.02549284,840
2024-01-18,Краснокотейский,Сметанинковы,85.21561678,850
2024-01-18,Мышесельский,Колбасовы,89.55665656,730
2024-01-18,Мышесельский,Молочковы,83.22530631,1043
2024-01-18,Мышесельский,Мятновы,87.4036341,617
2024-01-18,Мышесельский,Сметанинковы,82.68131189,632
2024-01-18,Петрокотский,Колбасовы,79.94334024,849
2024-01-18,Петрокотский,Молочковы,87.91714327,882
2024-01-18,Петрокотский,Мятновы,79.79413424,894
2024-01-18,Петрокотский,Сметанинковы,81.08768102,704
2024-01-18,Приморский,Колбасовы,85.94379864,938
2024-01-18,Приморский,Молочковы,81.71359534,834
2024-01-18,Приморский,Мятновы,83.33310765,624
2024-01-18,Приморский,Сметанинковы,81.35833904,816
2024-01-18,Невский,Колбасовы,80.35542602,894
2024-01-18,Невский,Молочковы,87.07172856,899
2024-01-18,Невский,Мятновы,87.31802182,866
2024-01-18,Невский,Сметанинковы,88.36976202,817
2024-01-17,Мышеостровский,Колбасовы,55.96572538,379
2024-01-17,Мышеостровский,Молочковы,55.22485092,397
2024-01-17,Мышеостровский,Мятновы,56.37202722,805
2024-01-17,Мышеостровский,Сметанинковы,55.45275243,650
2024-01-17,Краснокотейский,Колбасовы,60.77452992,654
2024-01-17,Краснокотейский,Молочковы,60.02468668,624
2024-01-17,Краснокотейский,Мятновы,62.11293503,564
2024-01-17,Краснокотейский,Сметанинковы,59.48178242,626
2024-01-17,Мышесельский,Колбасовы,60.30581773,567
2024-01-17,Мышесельский,Молочковы,63.37274063,731
2024-01-17,Мышесельский,Мятновы,60.04557064,795
2024-01-17,Мышесельский,Сметанинковы,57.27855819,754
2024-01-17,Петрокотский,Колбасовы,64.21517364,761
2024-01-17,Петрокотский,Молочковы,62.74263484,629
2024-01-17,Петрокотский,Мятновы,63.84437626,727
2024-01-17,Петрокотский,Сметанинковы,55.08133191,578
2024-01-17,Приморский,Колбасовы,59.47358999,482
2024-01-17,Приморский,Молочковы,57.44627367,736
2024-01-17,Приморский,Мятновы,59.38371129,586
2024-01-17,Приморский,Сметанинковы,59.78898939,617
2024-01-17,Невский,Колбасовы,54.91201699,409
2024-01-17,Невский,Молочковы,61.66154183,544
2024-01-17,Невский,Мятновы,55.08739201,590
2024-01-17,Невский,Сметанинковы,55.71699821,685
2024-01-16,Мышеостровский,Колбасовы,74.02008424,775
2024-01-16,Мышеостровский,Молочковы,69.61142771,795
2024-01-16,Мышеостровский,Мятновы,71.68986337,604
2024-01-16,Мышеостровский,Сметанинковы,76.07239269,711
2024-01-16,Краснокотейский,Колбасовы,68.94714229,688
2024-01-16,Краснокотейский,Молочковы,70.22053724,576
2024-01-16,Краснокотейский,Мятновы,68.31811955,570
2024-01-16,Краснокотейский,Сметанинковы,72.69923151,645
2024-01-16,Мышесельский,Колбасовы,76.51059199,714
2024-01-16,Мышесельский,Молочковы,68.27307033,695
2024-01-16,Мышесельский,Мятновы,77.62879317,593
2024-01-16,Мышесельский,Сметанинковы,77.57835348,719
2024-01-16,Петрокотский,Колбасовы,71.49369964,634
2024-01-16,Петрокотский,Молочковы,76.85426851,785
2024-01-16,Петрокотский,Мятновы,70.45819504,419
2024-01-16,Петрокотский,Сметанинковы,77.70670891,716
2024-01-16,Приморский,Колбасовы,73.28021465,729
2024-01-16,Приморский,Молочковы,70.85775494,963
2024-01-16,Приморский,Мятновы,73.71682869,669
2024-01-16,Приморский,Сметанинковы,75.20566886,730
2024-01-16,Невский,Колбасовы,71.27504329,652
2024-01-16,Невский,Молочковы,74.25616141,681
2024-01-16,Невский,Мятновы,72.98734706,517
2024-01-16,Невский,Сметанинковы,74.82794674,950
2024-01-15,Мышеостровский,Колбасовы,71.48844453,531
2024-01-15,Мышеостровский,Молочковы,68.28083928,799
2024-01-15,Мышеостровский,Мятновы,74.93487945,805
2024-01-15,Мышеостровский,Сметанинковы,66.68656167,697
2024-01-15,Краснокотейский,Колбасовы,66.04343187,494
2024-01-15,Краснокотейский,Молочковы,69.39007694,672
2024-01-15,Краснокотейский,Мятновы,73.87857596,692
2024-01-15,Краснокотейский,Сметанинковы,70.96310309,649
2024-01-15,Мышесельский,Колбасовы,75.25987996,663
2024-01-15,Мышесельский,Молочковы,74.14277364,784
2024-01-15,Мышесельский,Мятновы,69.8917301,794
2024-01-15,Мышесельский,Сметанинковы,66.55816633,878
2024-01-15,Петрокотский,Колбасовы,75.50194279,924
2024-01-15,Петрокотский,Молочковы,75.13667106,706
2024-01-15,Петрокотский,Мятновы,74.40046024,615
2024-01-15,Петрокотский,Сметанинковы,75.19572965,877
2024-01-15,Приморский,Колбасовы,67.01045307,583
2024-01-15,Приморский,Молочковы,66.58838646,900
2024-01-15,Приморский,Мятновы,66.52254981,691
2024-01-15,Приморский,Сметанинковы,73.9459519,1188
2024-01-15,Невский,Колбасовы,69.38783928,581
2024-01-15,Невский,Молочковы,67.29088519,950
2024-01-15,Невский,Мятновы,67.08545852,571
2024-01-15,Невский,Сметанинковы,68.64848892,492
2024-01-14,Мышеостровский,Колбасовы,71.78147793,478
2024-01-14,Мышеостровский,Молочковы,71.78147793,789
2024-01-14,Мышеостровский,Мятновы,71.78147793,643
2024-01-14,Мышеостровский,Сметанинковы,71.78147793,648
2024-01-14,Краснокотейский,Колбасовы,71.78147793,752
2024-01-14,Краснокотейский,Молочковы,71.78147793,1002
2024-01-14,Краснокотейский,Мятновы,71.78147793,824
2024-01-14,Краснокотейский,Сметанинковы,71.78147793,793
2024-01-14,Мышесельский,Колбасовы,71.78147793,785
2024-01-14,Мышесельский,Молочковы,71.78147793,777
2024-01-14,Мышесельский,Мятновы,71.78147793,846
2024-01-14,Мышесельский,Сметанинковы,71.78147793,814
2024-01-14,Петрокотский,Колбасовы,71.78147793,692
2024-01-14,Петрокотский,Молочковы,71.78147793,746
2024-01-14,Петрокотский,Мятновы,71.78147793,577
2024-01-14,Петрокотский,Сметанинковы,71.78147793,820
2024-01-14,Приморский,Колбасовы,71.78147793,694
2024-01-14,Приморский,Молочковы,71.78147793,708
2024-01-14,Приморский,Мятновы,71.78147793,1007
2024-01-14,Приморский,Сметанинковы,71.78147793,1032
2024-01-14,Невский,Колбасовы,71.78147793,734
2024-01-14,Невский,Молочковы,71.78147793,701
2024-01-14,Невский,Мятновы,71.78147793,654
2024-01-14,Невский,Сметанинковы,71.78147793,456
2024-01-13,Мышеостровский,Колбасовы,74.28223463,347
2024-01-13,Мышеостровский,Молочковы,74.39952845,492
2024-01-13,Мышеостровский,Мятновы,78.00556832,587
2024-01-13,Мышеостровский,Сметанинковы,78.00827158,943
2024-01-13,Краснокотейский,Колбасовы,71.24507693,917
2024-01-13,Краснокотейский,Молочковы,73.25052007,688
2024-01-13,Краснокотейский,Мятновы,77.29673807,731
2024-01-13,Краснокотейский,Сметанинковы,69.30302522,793
2024-01-13,Мышесельский,Колбасовы,76.09633274,607
2024-01-13,Мышесельский,Молочковы,72.44407097,649
2024-01-13,Мышесельский,Мятновы,77.99273823,632
2024-01-13,Мышесельский,Сметанинковы,77.34681432,792
2024-01-13,Петрокотский,Колбасовы,71.12057309,761
2024-01-13,Петрокотский,Молочковы,73.44269886,773
2024-01-13,Петрокотский,Мятновы,70.95682259,575
2024-01-13,Петрокотский,Сметанинковы,76.00303743,924
2024-01-13,Приморский,Колбасовы,76.67708399,969
2024-01-13,Приморский,Молочковы,70.88662845,713
2024-01-13,Приморский,Мятновы,72.85270352,995
2024-01-13,Приморский,Сметанинковы,75.75175034,682
2024-01-13,Невский,Колбасовы,72.10987452,866
2024-01-13,Невский,Молочковы,74.03338921,560
2024-01-13,Невский,Мятновы,77.21996672,772
2024-01-13,Невский,Сметанинковы,73.33288687,812
2024-01-12,Мышеостровский,Колбасовы,50.99752668,444
2024-01-12,Мышеостровский,Молочковы,48.98644178,550
2024-01-12,Мышеостровский,Мятновы,55.84443996,464
2024-01-12,Мышеостровский,Сметанинковы,51.95407575,475
2024-01-12,Краснокотейский,Колбасовы,52.45530733,700
2024-01-12,Краснокотейский,Молочковы,51.42076835,530
2024-01-12,Краснокотейский,Мятновы,49.14134461,557
2024-01-12,Краснокотейский,Сметанинковы,50.64439721,481
2024-01-12,Мышесельский,Колбасовы,51.7072516,439
2024-01-12,Мышесельский,Молочковы,53.91496613,465
2024-01-12,Мышесельский,Мятновы,56.36973799,490
2024-01-12,Мышесельский,Сметанинковы,49.51015094,655
2024-01-12,Петрокотский,Колбасовы,55.85364728,484
2024-01-12,Петрокотский,Молочковы,53.68388642,512
2024-01-12,Петрокотский,Мятновы,57.04592278,573
2024-01-12,Петрокотский,Сметанинковы,57.24245143,768
2024-01-12,Приморский,Колбасовы,55.16043878,627
2024-01-12,Приморский,Молочковы,56.06549857,456
2024-01-12,Приморский,Мятновы,50.28460562,423
2024-01-12,Приморский,Сметанинковы,55.03643096,563
2024-01-12,Невский,Колбасовы,54.42636816,370
2024-01-12,Невский,Молочковы,56.37260527,293
2024-01-12,Невский,Мятновы,48.41142457,475
2024-01-12,Невский,Сметанинковы,54.92604596,768
2024-01-11,Мышеостровский,Колбасовы,69.99586074,718
2024-01-11,Мышеостровский,Молочковы,71.17880787,804
2024-01-11,Мышеостровский,Мятновы,76.09690715,772
2024-01-11,Мышеостровский,Сметанинковы,70.80663518,703
2024-01-11,Краснокотейский,Колбасовы,72.71911283,867
2024-01-11,Краснокотейский,Молочковы,74.03635971,917
2024-01-11,Краснокотейский,Мятновы,71.22600698,684
2024-01-11,Краснокотейский,Сметанинковы,76.6826035,790
2024-01-11,Мышесельский,Колбасовы,73.77919339,931
2024-01-11,Мышесельский,Молочковы,69.99581089,626
2024-01-11,Мышесельский,Мятновы,68.32197765,676
2024-01-11,Мышесельский,Сметанинковы,71.11868217,725
2024-01-11,Петрокотский,Колбасовы,68.85173358,509
2024-01-11,Петрокотский,Молочковы,68.35125828,856
2024-01-11,Петрокотский,Мятновы,69.68660607,681
2024-01-11,Петрокотский,Сметанинковы,75.94556963,767
2024-01-11,Приморский,Колбасовы,70.96856171,741
2024-01-11,Приморский,Молочковы,69.72719096,511
2024-01-11,Приморский,Мятновы,76.8597753,668
2024-01-11,Приморский,Сметанинковы,69.82832611,558
2024-01-11,Невский,Колбасовы,76.13296064,730
2024-01-11,Невский,Молочковы,74.55513995,574
2024-01-11,Невский,Мятновы,74.97174971,854
2024-01-11,Невский,Сметанинковы,77.40456634,620
2024-01-10,Мышеостровский,Колбасовы,69.8194011,659
2024-01-10,Мышеостровский,Молочковы,69.8194011,797
2024-01-10,Мышеостровский,Мятновы,69.8194011,775
2024-01-10,Мышеостровский,Сметанинковы,69.8194011,667
2024-01-10,Краснокотейский,Колбасовы,69.8194011,753
2024-01-10,Краснокотейский,Молочковы,69.8194011,1012
2024-01-10,Краснокотейский,Мятновы,69.8194011,483
2024-01-10,Краснокотейский,Сметанинковы,69.8194011,568
2024-01-10,Мышесельский,Колбасовы,69.8194011,361
2024-01-10,Мышесельский,Молочковы,69.8194011,702
2024-01-10,Мышесельский,Мятновы,69.8194011,523
2024-01-10,Мышесельский,Сметанинковы,69.8194011,808
2024-01-10,Петрокотский,Колбасовы,69.8194011,778
2024-01-10,Петрокотский,Молочковы,69.8194011,651
2024-01-10,Петрокотский,Мятновы,69.8194011,948
2024-01-10,Петрокотский,Сметанинковы,69.8194011,945
2024-01-10,Приморский,Колбасовы,69.8194011,605
2024-01-10,Приморский,Молочковы,69.8194011,829
2024-01-10,Приморский,Мятновы,69.8194011,766
2024-01-10,Приморский,Сметанинковы,69.8194011,666
2024-01-10,Невский,Колбасовы,69.8194011,903
2024-01-10,Невский,Молочковы,69.8194011,553
2024-01-10,Невский,Мятновы,69.8194011,892
2024-01-10,Невский,Сметанинковы,69.8194011,632
2024-01-09,Мышеостровский,Колбасовы,68.43926379,612
2024-01-09,Мышеостровский,Молочковы,70.383385,698
2024-01-09,Мышеостровский,Мятновы,62.70563869,578
2024-01-09,Мышеостровский,Сметанинковы,62.22281354,676
2024-01-09,Краснокотейский,Колбасовы,69.97379954,810
2024-01-09,Краснокотейский,Молочковы,62.14140045,692
2024-01-09,Краснокотейский,Мятновы,61.60687746,634
2024-01-09,Краснокотейский,Сметанинковы,69.78413362,707
2024-01-09,Мышесельский,Колбасовы,61.69037743,701
2024-01-09,Мышесельский,Молочковы,68.46525068,535
2024-01-09,Мышесельский,Мятновы,62.86821148,558
2024-01-09,Мышесельский,Сметанинковы,64.70439805,501
2024-01-09,Петрокотский,Колбасовы,64.58560986,700
2024-01-09,Петрокотский,Молочковы,70.94772156,565
2024-01-09,Петрокотский,Мятновы,62.82759108,483
2024-01-09,Петрокотский,Сметанинковы,65.02644777,774
2024-01-09,Приморский,Колбасовы,70.99056248,805
2024-01-09,Приморский,Молочковы,69.94917483,436
2024-01-09,Приморский,Мятновы,67.16383904,727
2024-01-09,Приморский,Сметанинковы,64.61525559,485
2024-01-09,Невский,Колбасовы,70.60293099,891
2024-01-09,Невский,Молочковы,61.67104727,522
2024-01-09,Невский,Мятновы,69.3954959,707
2024-01-09,Невский,Сметанинковы,71.04732373,680
2024-01-08,Мышеостровский,Колбасовы,48.82575311,349
2024-01-08,Мышеостровский,Молочковы,56.33816951,473
2024-01-08,Мышеостровский,Мятновы,52.12252507,610
2024-01-08,Мышеостровский,Сметанинковы,57.52524558,624
2024-01-08,Краснокотейский,Колбасовы,51.03776165,547
2024-01-08,Краснокотейский,Молочковы,51.65658728,338
2024-01-08,Краснокотейский,Мятновы,52.39789707,367
2024-01-08,Краснокотейский,Сметанинковы,51.22825705,679
2024-01-08,Мышесельский,Колбасовы,54.23108039,669
2024-01-08,Мышесельский,Молочковы,56.55659693,543
2024-01-08,Мышесельский,Мятновы,48.932939,448
2024-01-08,Мышесельский,Сметанинковы,55.15375052,683
2024-01-08,Петрокотский,Колбасовы,51.31465556,609
2024-01-08,Петрокотский,Молочковы,51.06537984,521
2024-01-08,Петрокотский,Мятновы,55.94919303,474
2024-01-08,Петрокотский,Сметанинковы,53.82476995,420
2024-01-08,Приморский,Колбасовы,54.05773511,488
2024-01-08,Приморский,Молочковы,50.83760668,463
2024-01-08,Приморский,Мятновы,50.59717928,559
2024-01-08,Приморский,Сметанинковы,54.54291796,638
2024-01-08,Невский,Колбасовы,52.25604609,764
2024-01-08,Невский,Молочковы,53.8196265,372
2024-01-08,Невский,Мятновы,51.97552109,519
2024-01-08,Невский,Сметанинковы,55.39337542,415
2024-01-07,Мышеостровский,Колбасовы,48.67258944,472
2024-01-07,Мышеостровский,Молочковы,50.7800849,654
2024-01-07,Мышеостровский,Мятновы,55.7772784,553
2024-01-07,Мышеостровский,Сметанинковы,55.09746958,410
2024-01-07,Краснокотейский,Колбасовы,48.16562585,587
2024-01-07,Краснокотейский,Молочковы,56.09896092,577
2024-01-07,Краснокотейский,Мятновы,47.49102297,444
2024-01-07,Краснокотейский,Сметанинковы,51.62537328,592
2024-01-07,Мышесельский,Колбасовы,47.25708199,374
2024-01-07,Мышесельский,Молочковы,51.22717115,345
2024-01-07,Мышесельский,Мятновы,49.36395384,424
2024-01-07,Мышесельский,Сметанинковы,47.36669887,551
2024-01-07,Петрокотский,Колбасовы,52.95282875,713
2024-01-07,Петрокотский,Молочковы,53.44017688,643
2024-01-07,Петрокотский,Мятновы,50.90890514,368
2024-01-07,Петрокотский,Сметанинковы,50.16088774,584
2024-01-07,Приморский,Колбасовы,49.25703067,481
2024-01-07,Приморский,Молочковы,54.49269138,281
2024-01-07,Приморский,Мятновы,54.82763562,389
2024-01-07,Приморский,Сметанинковы,54.44921035,516
2024-01-07,Невский,Колбасовы,50.72754472,618
2024-01-07,Невский,Молочковы,50.00050088,549
2024-01-07,Невский,Мятновы,49.43883031,620
2024-01-07,Невский,Сметанинковы,46.38944523,486
2024-01-06,Мышеостровский,Колбасовы,59.9929702,555
2024-01-06,Мышеостровский,Молочковы,62.01104304,654
2024-01-06,Мышеостровский,Мятновы,64.57403884,746
2024-01-06,Мышеостровский,Сметанинковы,62.64043836,802
2024-01-06,Краснокотейский,Колбасовы,61.6656483,691
2024-01-06,Краснокотейский,Молочковы,63.67935482,595
2024-01-06,Краснокотейский,Мятновы,62.34841479,518
2024-01-06,Краснокотейский,Сметанинковы,56.21465011,740
2024-01-06,Мышесельский,Колбасовы,56.57684978,447
2024-01-06,Мышесельский,Молочковы,65.11145781,741
2024-01-06,Мышесельский,Мятновы,60.76698037,743
2024-01-06,Мышесельский,Сметанинковы,61.69150026,643
